id,source,reference,frontier,mt_sft,unk_sft,dpo_candidate,selector_output,chosen_method,exact,chrf,contamination,truncation,over_expansion,title_suffix_error,numeral_error,over_modernization,unsupported_narrativization,false_cultural_specificity,interpretive_substitution,selector_action,switch_reason,audit_needed
1,𗢳𘎪𗼃𘜶𗒛𘕕𗖵𗨳𗖰𗚩,佛説聖大乘三歸依經,佛説聖大乘三歸依經,佛説聖大乘三觀經,佛説聖大乘三觀經,佛説聖大乘三生歸順經,佛説聖大乘三歸依經,frontier,1,100.0,0,0,0,0,0,0,0,0,0,keep_frontier,,0
2,𘊝𗡞𘟩𗁬𗓽𘆵𗖰𗚩,百千印陀羅尼經,百千印陀羅尼經,千數經律銅人取經,百千頌陀羅尼經,千千印文洛下渡經,百千印陀羅尼經,frontier,1,100.0,0,0,0,0,0,0,0,0,0,keep_frontier,,0
3,𘕕𗡪𘕋𗍓𗖍,三個懺罪頌,第十三懺罪頌,三種罪懺根,三種惡趣淨拔,三種罪懺根,第十三懺罪頌,frontier,0,25.9729,0,0,0,0,1,0,0,0,0,keep_frontier,,1
4,𘓐𗢳𗨻𗰲𗵘𘞵,人佛為自道長,人佛作道長經,人佛使弥道长,人體業空渡記,文佛使護道長,人佛作道長經,frontier,0,15.2381,0,0,0,0,0,0,0,0,0,keep_frontier,,0
5,𗦬𘍞𗵘𘐡,共丸道次,俱通次第論,范宁、范玄平两人在路上。,重譯道果,重念道次,俱通次第論,frontier,0,4.7619,0,0,0,0,0,0,0,0,0,keep_frontier,,0
6,𗼃𘜶𗥤𗶈𘟙𗴿𗖵𗄊𘜘𗖰𗚩,聖大悟蔭王求隨皆得經,聖大解女王求皆得經,聖大般若波羅蜜多經,聖大乘利有羅索之央正經,聖大般若女王求隨集了經,聖大解女王求皆得經,frontier,0,18.5293,0,0,0,0,0,0,0,0,0,keep_frontier,,0
7,𗏁𗴮𗖰𗚩,五部經,五類經,五部經典,五部經,五部經典,五部經,unk_sft,1,100.0,0,0,0,0,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
8,𘌽𘕿𘙌𗫡𗗆𘋩𗖵𗨳𗡶,此於已到僧於隨歸順,此處僧至皈依儀,这是清净音的僧尼随顺法。,長阿含經中受持功德説,nàyQuiet 至僧人隨自順則,此處僧至皈依儀,frontier,0,3.3223,0,0,0,0,0,0,0,0,0,keep_frontier,,0
9,𗒹𘏨𗤻𗭔𗢳𗁬𗓽𘆵𗖰𗚩,七寶華踏佛陀羅尼經,七寶花踏佛陀羅尼經,七寶華頂佛頂大王經,七寶華嚴大羅NetworkedBronze經,七寶華鬘佛頂大羅總經,七寶花踏佛陀羅尼經,frontier,0,48.0045,0,0,0,0,0,0,0,0,0,keep_frontier,,0
10,𗬀𗔇𘂫𘅜𘏒𘖜,伏藏變化解鍵,藏伏庫變鎖經,伏当变开锁，即伏当变开锁，是兵家语。,护摩變解重譯,伏法變 '|' 解縛,藏伏庫變鎖經,frontier,0,7.1429,0,0,0,0,0,0,0,0,0,keep_frontier,,0
11,𘝳𗥔𗇋𗖵𗠁𗫻𗟻𗡶𘄴𗑾,默有者隨勝住令順要論,禪定安住勝法要門,默有惡風引發在食順要論,默有悲隨勝住令順要論,默有惡隨作在使順要論,默有悲隨勝住令順要論,unk_sft,0,53.9172,0,0,0,0,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
12,𘕕𗤀𘎆𗮔𗟲𗰖𘝞,三世屬明言集文,三代照言集文,三時輪迴文集,三世乎摩論集,三代此語言集文,三代照言集文,frontier,0,16.3072,0,0,0,0,0,0,0,0,0,keep_frontier,,0
13,𘈼𗪘𗦎𘍞𗮅𗧘𗅋𘙰𘟀𗡶𘜶𗿻𘜾𘙇𘎪□𘄎,如上流凡多義不同見順大鳳凰□□説□清,先流多義無同觀法大鳳凰説清經,過去莊嚴諸説諸説聽經人□□,過去莊嚴劫數惡趣純光□ CLEAR PRIMORDIAL BODHIMANDALA,過去多聞比丘多義不共觀順大孔雀經清□淨,先流多義無同觀法大鳳凰説清經,frontier,0,11.0606,0,0,0,0,0,0,0,0,0,keep_frontier,,0
14,𗰜𗺉𗄑𗄑𘟣𘎪𗴮𘂯𗷌𗡝,根本一切有説部目得迦,根本一切説類目逃迦經,根本一切有説部現前解謗,根本一切有説部覆母,根本一切有説部雜阿毘達磨異相註疏,根本一切説類目逃迦經,frontier,0,20.3741,0,0,0,0,0,0,0,0,0,keep_frontier,,0
15,𘏞𘛛𗹡𗹬𘜶𗹡𗹬𘖑𗆄𘋢𗥤𗫔𗗙𗖵𗨳𗍺𘐔,菩提勇識大勇識不價菩薩衆之歸依禮拜,菩提勇猛大勇猛無量菩薩眾歸依敬禮,菩提勇識大勇識與混諦要論之隨略解頌,菩提勇識大菩提識見頌,菩提勇識大勇識差曰諦意解生等之隨順禮拜,菩提勇猛大勇猛無量菩薩眾歸依敬禮,frontier,0,13.9895,0,0,0,0,0,0,0,0,0,keep_frontier,,0
16,𗏇𘉅,雜字,雜字,有字，名杂。,譙譙,記異,雜字,frontier,1,100.0,0,0,0,0,0,0,0,0,0,keep_frontier,,0
17,𗓰𗾟𘂚𘃽𗒹𗛆𗹙𘅫,深廣雙入七枝法事,深廣二入七支法事,廣二乘入七種法事,密咒以前尊習為事,廣二入勝七部法事,深廣二入七支法事,frontier,0,16.8367,0,0,0,0,1,0,0,0,0,keep_frontier,,1
18,𘋢𗥤𘝦𗗙𗍫𗑝𗆔,菩薩業之二節綱,菩薩藝行兩輩綱紀,菩薩業之二種根,菩薩業空渡記,菩薩業之二種綱,菩薩藝行兩輩綱紀,frontier,0,8.2567,0,0,0,0,1,0,0,0,0,keep_frontier,,1
19,𗢳𘎪𘈟𗐜𗟥𘋢𗥤𗞞𗤄𗖰𗚩,佛説障蓋除菩薩問經,佛説遮減菩薩問經,佛説肛瘡病治生般若經,佛説因緣消災陀羅尼經,佛説遮障現意解難問經,佛説遮減菩薩問經,frontier,0,23.7325,0,0,0,0,0,0,0,0,0,keep_frontier,,0
20,𗣼𗟭𘞫𗗙𗣃𗧘𗏴𗭪,正理滴之句義顯具,德宜點義句顯宣論,正理滴之要義顯註,正理滴第一義釋顯,正理滴之句義顯了,德宜點義句顯宣論,frontier,0,5.3571,0,0,0,0,0,0,0,0,0,keep_frontier,,0
21,𗰖𗖍𘄒𘎑𘏞𗓽𗕥𗸰𗖰𗚩,集頌般若波羅蜜多經,集頌般若波羅蜜多經,集頌般若波羅蜜多經,集頌般若波羅蜜多經,集頌般若波羅蜜多經,集頌般若波羅蜜多經,frontier,1,100.0,0,0,0,0,0,0,0,0,0,keep_frontier,,0
22,𗍥𘟙𗘅𗴺𗖵𗑗𘛧𗳒𗹝𘆖𘃡𗡶,金剛王亥母隨淨瓶以親誦作順,金剛亥母淨瓶親近行儀,金剛王亥母隨書函開中作順,金剛王亥母隨集了定作順,金剛王亥母隨書卷折近便作順,金剛亥母淨瓶親近行儀,frontier,0,11.8241,0,0,0,0,0,0,0,0,0,keep_frontier,,0
23,𗄭𘚢𗴿𗒀𘃡𗡶𘐡,聚輪供養作次第,集輪供養儀次,集畢供養作順次,集畢一皆手轡順次,集轉供養作順次,集輪供養儀次,frontier,0,16.3072,0,0,0,0,0,0,0,0,0,keep_frontier,,0
24,𗵒𗒛𘁨,金乘序,金乘序,金剛經,金剛王,金乘根,金乘序,frontier,1,100.0,0,0,0,0,0,0,0,0,0,keep_frontier,,0
25,𗩾𗨁𗉣𗖰𗚩,最上意經,最上意經,最上意經,至上心經,最上意經,最上意經,frontier,1,100.0,0,0,0,0,0,0,0,0,0,keep_frontier,,0
26,𗢳𘎪𘗽𘍭𗆄𗢳𘝯𗖰𗚩𗼫𗿧𘋓,佛説智(?)□□佛觀經□註,佛説壽量品觀藥師經疏,佛説壽無量佛觀經膏藥疏,佛説壽無量佛觀經膏藥疏,佛説壽壽無量佛觀經藥師疏,佛説壽量品觀藥師經疏,frontier,0,5.8615,0,0,0,0,0,0,0,0,0,keep_frontier,,0
27,𗼑𗼑𗫉𗊱,月月樂詩,月月樂詩,月月乐诗，即月乐诗，乐曲名。,月月乐曲,月月圓詩,月月樂詩,frontier,1,100.0,0,0,0,0,0,0,0,0,0,keep_frontier,,0
28,𗠁𘟛𗳌𘋟𗫡𘄴𗑾𘘝𗫦𗌮𗙼𗥤𗵽𘆡𘓆𗏴𗖍,勝慧彼岸到要論教學現量解莊嚴論顯頌,勝慧彼岸至要門教習實如現解莊嚴論顯頌,勝慧到彼岸要論　教學現量解莊嚴顯疏,勝慧到彼岸要論　教學現量解莊嚴,勝慧彼岸到要論教學現量解莊嚴顯頌,勝慧彼岸至要門教習實如現解莊嚴論顯頌,frontier,0,30.8509,0,0,0,0,0,0,0,0,0,keep_frontier,,0
29,𗢭𗵫𗴿𗒀𗺉,九曜供養根,九曜供養根本典,九種供養根,九地順根,九種供養根,九曜供養根本典,frontier,0,72.1295,0,0,0,0,0,0,0,0,0,keep_frontier,,0
30,𗰗𘈩𘅞𗾈𗥺𗤶𗖰𗚩,十一面神咒心經,二十一賢面咒心經,十一面觀菩薩經,十一面觀自主意經,十一面觀自在經,十一面觀自主意經,unk_sft,0,15.2929,0,0,0,0,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
31,𗙏𘙰,同音,同音,音类：指音韵学。,燈要,鏡同,同音,frontier,1,100.0,0,0,0,0,0,0,0,0,0,keep_frontier,,0
32,𗍥𘟙𗉃𘔅𗤶𗅁𗧯𗦇,金剛王燈炬心中所持可,金剛燈炬心要總持,金剛王體中繞作順,金剛王燃施舍頌,金剛王燈心以面持西,金剛燈炬心要總持,frontier,0,15.7927,0,0,0,0,0,0,0,0,0,keep_frontier,,0
33,𗒹𗢳𘎪𗾈𗥺𗖰𗚩,七佛説神咒經,七佛説賢咒經,七佛説禪源經,七佛説賢劫經,七佛説智慧炬經,七佛説賢咒經,frontier,0,24.0476,0,0,0,0,0,0,0,0,0,keep_frontier,,0
34,𗆧𗰖𗵒𗭭𘃎𘐏𘝞,新集碎金置掌文,新集掌上碎金,新集金剛王經,新集錦合辭,新集金剛王字置文,新集掌上碎金,frontier,0,15.4307,0,0,0,1,0,0,0,0,0,keep_frontier,,1
35,𗿢𗖵𘄴𗰖𘕕𘄿𗾖𗪐𗣼𗹙𘂤𘃽𗡶,統依要集三品子□正法中入順,敕纂要三品君子德法容入則,勅隨要集三諦於識並法於入順,勅隨廣大三乘煩決順法顯莊嚴,勅隨要集三乘篇男子正法 Keys to Entry and Exit,勅隨廣大三乘煩決順法顯莊嚴,unk_sft,0,3.2967,0,0,0,1,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
36,𗫡𗾈,到賢,五台山觀音普賢殿寺,聰穎,次智,達賢,五台山觀音普賢殿寺,frontier,0,9.8039,0,0,1,0,0,1,0,0,0,keep_frontier,,1
37,𗯨𗣈𗒹𗵘𗹙𘅫,世離七道法事,世界出七道法事,寺出七道法事,世出七道法事,世出七道法事,世界出七道法事,frontier,0,31.041,0,0,0,0,0,0,0,0,0,keep_frontier,,0
38,𗼃𗤁𗏇𘗽𘎲𘜶𗶈𘟙𗁬𗓽𘆵𗖰𗚩,聖六字壽增大蔭王陀羅尼經,聖六字增壽太陰王陀羅尼經,聖六祖壽無量大陀羅尼經,聖六種壽無量大蔭王總持經,聖六祖壽無大悲大陀羅尼經,聖六字增壽太陰王陀羅尼經,frontier,0,30.3716,0,0,0,0,0,0,0,0,0,keep_frontier,,0
39,𗯵𘟣𗰛𗼃𗡡𘀄𘓄𗗙𗪲𗒐𗡙𗜓,壞有出聖柔吉祥之攝受讚顯,壞劫超聖柔守護國吉祥執掌嘆譽經,壞有渡勝igesia̘ 慈悲加讚,壞有渡母吉祥之名誦受承順,壞有渡聖柔吉祥之供養受讚頌經,壞有渡聖柔吉祥之供養受讚頌經,dpo,0,26.7505,0,0,0,0,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
40,𗤻𗵽𗹙𗐯𘝯𗆔,華嚴法界觀幹,華嚴法界觀綱,蓮華法界見在綱,蓮華法事曰,蓮華法界觀門,蓮華法界觀門,dpo,0,18.8095,0,0,0,0,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
41,𗼇𗟲𗍥𘟙𗒛𗺉,番言金剛王乘根,番,番言金剛王乘根,番言金剛王乘根,番言金剛王乘根,番言金剛王乘根,unk_sft,1,100.0,0,0,0,0,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
42,𗴮𘊳,類林,類林,《类林》,名林,寺廟,類林,frontier,1,100.0,0,0,0,0,0,0,0,0,0,keep_frontier,,0
43,𗵒𘗁𘄒𘎑𘓋𘐇𘝞,金剛般若略記文,金剛般若略記文,金剛般若略記文,金剛般若略計文,金剛般若略記文,金剛般若略計文,unk_sft,0,42.2449,0,0,0,1,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
44,𗍥𘟙𘝳𗥔𗴺𗖵𗄭𘚢𘐇𘃡𗡶𘐡,金剛王默有母隨集輪求記作順次,金剛禪定母俱輪轉記,金剛王默有母隨集輪轉生順次,金剛王默有母隨集了定作順次,金剛王默有母隨集轉記為順次,金剛王默有母隨集了定作順次,unk_sft,0,47.2226,0,0,0,1,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
45,𗢳𘎪𗔀𗴺𘘖𗊢𗖰𗚩,佛説父母恩重經,佛説父母恩重經,佛説父母恩重經,佛説父母孝經,佛説父母恩重經,佛説父母孝經,unk_sft,0,27.613,0,0,0,0,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
46,𘜶𗐋𗴂𗴺𗗙𗄊𗧯𘆖𗡶𘄴𗑾,大蓋白母之總持誦順要論,大白傘蓋佛母總持誦要門,大蓋白母之總持門順要論,大蓋白母之總持順要論,大蓋白母之總持門順要論,大蓋白母之總持門順要論,dpo,0,51.9666,0,0,0,0,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
47,𗣼𗟭𘞫𘈃𘍳𘃨,正理滴特殊造,德宜滴殊作,正理滴第一造,正理滴第一義釋,正理滴要甚作,正理滴要甚作,dpo,0,16.4286,0,0,0,0,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
48,𗼻𗔇𘋢𗥤𗰜𘓞𗖰𗚩,地藏菩薩本願經,地藏菩薩本願經,師道滿隨本願經,土地一切形影經典,土藏識決定本母經典,地藏菩薩本願經,frontier,1,100.0,0,0,0,0,0,0,0,0,0,keep_frontier,,0
49,𗵘𗗙𘂳𗖈𗷰𗡶𘄴𗑾,道之間休止順要論,道間禁斷法要門,道家之經律韻集要論,道果語錄註 selvā疏,道之中禁斷順要論,道間禁斷法要門,frontier,0,5.4945,0,0,0,1,0,0,0,0,0,keep_frontier,,1
50,𗓁𗱈𘋢𗥤𗣷𗄻𘓺𗨁𘎳𘝯𗖰𗚩,觀彌勒菩薩足知皇上生觀經,彌勒菩薩知足天上生觀經,闻虎命解足知天上生观经道,文虎命解足知天子相誦經,聞慧命圓滿知天位生經院事,彌勒菩薩知足天上生觀經,frontier,0,29.1212,0,0,0,0,0,0,0,0,0,keep_frontier,,0
