method,display_name,index,input,reference,prediction,is_exact,primary_error,all_error_labels,ascii_alpha,angle_or_tag,unk_token,prompt_artifact,truncation,over_expansion,suffix_drop,number_mismatch
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,1,𗢳𘎪𗼃𘜶𗒛𘕕𗖵𗨳𗖰𗚩,佛説聖大乘三歸依經,佛説聖大乘三皈依經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,2,𘊝𗡞𘟩𗁬𗓽𘆵𗖰𗚩,百千印陀羅尼經,百千印心經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,3,𘕕𗡪𘕋𗍓𗖍,三個懺罪頌,第十三悔罪頌,0,number_mismatch,"[""number_mismatch""]",0,0,0,0,0,0,0,1
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,4,𘓐𗢳𗨻𗰲𗵘𘞵,人佛為自道長,佛説人道長經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,5,𗦬𘍞𗵘𘐡,共丸道次,共同道序经,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,6,𗼃𘜶𗥤𗶈𘟙𗴿𗖵𗄊𘜘𗖰𗚩,聖大悟蔭王求隨皆得經,圣解女性王祈求總持經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,7,𗏁𗴮𗖰𗚩,五部經,五種陀羅尼經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,8,𘌽𘕿𘙌𗫡𗗆𘋩𗖵𗨳𗡶,此於已到僧於隨歸順,至僧皈依法則,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,9,𗒹𘏨𗤻𗭔𗢳𗁬𗓽𘆵𗖰𗚩,七寶華踏佛陀羅尼經,七寶花踏佛陀羅尼經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,10,𗬀𗔇𘂫𘅜𘏒𘖜,伏藏變化解鍵,隐藏变化锁记,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,11,𘝳𗥔𗇋𗖵𗠁𗫻𗟻𗡶𘄴𗑾,默有者隨勝住令順要論,禅定勝法經,0,truncation,"[""truncation"", ""suffix_drop""]",0,0,0,0,1,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,12,𘕕𗤀𘎆𗮔𗟲𗰖𘝞,三世屬明言集文,三代彼此文集,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,13,𘈼𗪘𗦎𘍞𗮅𗧘𗅋𘙰𘟀𗡶𘜶𗿻𘜾𘙇𘎪□𘄎,如上流凡多義不同見順大鳳凰□□説□清,凤凰说理经,0,truncation,"[""truncation"", ""suffix_drop""]",0,0,0,0,1,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,14,𗰜𗺉𗄑𗄑𘟣𘎪𗴮𘂯𗷌𗡝,根本一切有説部目得迦,根本說一切如經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,15,𘏞𘛛𗹡𗹬𘜶𗹡𗹬𘖑𗆄𘋢𗥤𗫔𗗙𗖵𗨳𗍺𘐔,菩提勇識大勇識不價菩薩衆之歸依禮拜,菩提薩埵大般若波羅蜜多經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,16,𗏇𘉅,雜字,杂字,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,17,𗓰𗾟𘂚𘃽𗒹𗛆𗹙𘅫,深廣雙入七枝法事,深广二七支法事,0,number_mismatch,"[""number_mismatch""]",0,0,0,0,0,0,0,1
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,18,𘋢𗥤𘝦𗗙𗍫𗑝𗆔,菩薩業之二節綱,菩萨藝两辈纲紀經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,19,𗢳𘎪𘈟𗐜𗟥𘋢𗥤𗞞𗤄𗖰𗚩,佛説障蓋除菩薩問經,佛説遮蓋減除菩薩問經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,20,𗣼𗟭𘞫𗗙𗣃𗧘𗏴𗭪,正理滴之句義顯具,德應滴 Gyen 词句 显宣 ɪꜰʀ 经,0,contamination,"[""contamination"", ""over_expansion"", ""suffix_drop""]",1,0,0,0,0,1,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,21,𗰖𗖍𘄒𘎑𘏞𗓽𗕥𗸰𗖰𗚩,集頌般若波羅蜜多經,野利般若波羅蜜多集颂,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,22,𗍥𘟙𗘅𗴺𗖵𗑗𘛧𗳒𗹝𘆖𘃡𗡶,金剛王亥母隨淨瓶以親誦作順,金刚亥母净瓶陀羅尼經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,23,𗄭𘚢𗴿𗒀𘃡𗡶𘐡,聚輪供養作次第,集聚轮转供养法則次序经,0,over_expansion,"[""over_expansion""]",0,0,0,0,0,1,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,24,𗵒𗒛𘁨,金乘序,金乘序,1,exact,"[""exact""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,25,𗩾𗨁𗉣𗖰𗚩,最上意經,最上意謀經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,26,𗢳𘎪𘗽𘍭𗆄𗢳𘝯𗖰𗚩𗼫𗿧𘋓,佛説智(?)□□佛觀經□註,佛説壽量品 medicinal注疏,0,contamination,"[""contamination"", ""suffix_drop""]",1,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,27,𗼑𗼑𗫉𗊱,月月樂詩,月月乐诗,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,28,𗠁𘟛𗳌𘋟𗫡𘄴𗑾𘘝𗫦𗌮𗙼𗥤𗵽𘆡𘓆𗏴𗖍,勝慧彼岸到要論教學現量解莊嚴論顯頌,胜慧彼岸至治热病法要门论,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,29,𗢭𗵫𗴿𗒀𗺉,九曜供養根,九曜供养經,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,30,𗰗𘈩𘅞𗾈𗥺𗤶𗖰𗚩,十一面神咒心經,二十一面賢咒心經,0,number_mismatch,"[""number_mismatch""]",0,0,0,0,0,0,0,1
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,31,𗙏𘙰,同音,同音集,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,32,𗍥𘟙𗉃𘔅𗤶𗅁𗧯𗦇,金剛王燈炬心中所持可,金刚心陀羅尼經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,33,𗒹𗢳𘎪𗾈𗥺𗖰𗚩,七佛説神咒經,佛説七賢咒經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,34,𗆧𗰖𗵒𗭭𘃎𘐏𘝞,新集碎金置掌文,新集掌上碎金,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,35,𗿢𗖵𘄴𗰖𘕕𘄿𗾖𗪐𗣼𗹙𘂤𘃽𗡶,統依要集三品子□正法中入順,纂要三品君子德法則,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,36,𗫡𗾈,到賢,五台觀音普賢殿寺,0,over_expansion,"[""over_expansion""]",0,0,0,0,0,1,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,37,𗯨𗣈𗒹𗵘𗹙𘅫,世離七道法事,世界京城七道法事,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,38,𗼃𗤁𗏇𘗽𘎲𘜶𗶈𘟙𗁬𗓽𘆵𗖰𗚩,聖六字壽增大蔭王陀羅尼經,圣六字延寿陀羅尼經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,39,𗯵𘟣𗰛𗼃𗡡𘀄𘓄𗗙𗪲𗒐𗡙𗜓,壞有出聖柔吉祥之攝受讚顯,毁越圣柔《守护国吉祥谒》赞,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,40,𗤻𗵽𗹙𗐯𘝯𗆔,華嚴法界觀幹,花 ornaments 法 观 纲纪 经,0,contamination,"[""contamination"", ""over_expansion"", ""suffix_drop""]",1,0,0,0,0,1,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,41,𗼇𗟲𗍥𘟙𗒛𗺉,番言金剛王乘根,金刚般若波羅蜜多經,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,42,𗴮𘊳,類林,类林,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,43,𗵒𘗁𘄒𘎑𘓋𘐇𘝞,金剛般若略記文,金刚波若少記,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,44,𗍥𘟙𘝳𗥔𗴺𗖵𗄭𘚢𘐇𘃡𗡶𘐡,金剛王默有母隨集輪求記作順次,金刚禅定母集輪記,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,45,𗢳𘎪𗔀𗴺𘘖𗊢𗖰𗚩,佛説父母恩重經,佛説父母厚恩經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,46,𘜶𗐋𗴂𗴺𗗙𗄊𗧯𘆖𗡶𘄴𗑾,大蓋白母之總持誦順要論,治熱病法要門,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,47,𗣼𗟭𘞫𘈃𘍳𘃨,正理滴特殊造,德應滴特造作經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,48,𗼻𗔇𘋢𗥤𗰜𘓞𗖰𗚩,地藏菩薩本願經,菩萨根本願經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,49,𗵘𗗙𘂳𗖈𗷰𗡶𘄴𗑾,道之間休止順要論,治熱病禁斷拒法門,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,50,𗓁𗱈𘋢𗥤𗣷𗄻𘓺𗨁𘎳𘝯𗖰𗚩,觀彌勒菩薩足知皇上生觀經,弥勒菩薩知足觀生經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,1,𗢳𘎪𗼃𘜶𗒛𘕕𗖵𗨳𗖰𗚩,佛説聖大乘三歸依經,佛説聖大乘三皈依經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,2,𘊝𗡞𘟩𗁬𗓽𘆵𗖰𗚩,百千印陀羅尼經,百千印心經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,3,𘕕𗡪𘕋𗍓𗖍,三個懺罪頌,第十三悔罪頌,0,number_mismatch,"[""number_mismatch""]",0,0,0,0,0,0,0,1
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,4,𘓐𗢳𗨻𗰲𗵘𘞵,人佛為自道長,佛説人道長經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,5,𗦬𘍞𗵘𘐡,共丸道次,共同道序经,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,6,𗼃𘜶𗥤𗶈𘟙𗴿𗖵𗄊𘜘𗖰𗚩,聖大悟蔭王求隨皆得經,圣解 Feminine王祈求總持經<tool_call>,0,contamination,"[""contamination"", ""over_expansion""]",1,1,0,0,0,1,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,7,𗏁𗴮𗖰𗚩,五部經,五種陀羅尼經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,8,𘌽𘕿𘙌𗫡𗗆𘋩𗖵𗨳𗡶,此於已到僧於隨歸順,至僧皈依法則,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,9,𗒹𘏨𗤻𗭔𗢳𗁬𗓽𘆵𗖰𗚩,七寶華踏佛陀羅尼經,七寶花踏佛陀羅尼經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,10,𗬀𗔇𘂫𘅜𘏒𘖜,伏藏變化解鍵,隐藏变化锁记,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,11,𘝳𗥔𗇋𗖵𗠁𗫻𗟻𗡶𘄴𗑾,默有者隨勝住令順要論,禅定胜法門治熱病要門經<tool_call>,0,contamination,"[""contamination"", ""over_expansion"", ""suffix_drop""]",1,1,0,0,0,1,1,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,12,𘕕𗤀𘎆𗮔𗟲𗰖𘝞,三世屬明言集文,三代彼此文集,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,13,𘈼𗪘𗦎𘍞𗮅𗧘𗅋𘙰𘟀𗡶𘜶𗿻𘜾𘙇𘎪□𘄎,如上流凡多義不同見順大鳳凰□□説□清,凤凰说理经,0,truncation,"[""truncation"", ""suffix_drop""]",0,0,0,0,1,0,1,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,14,𗰜𗺉𗄑𗄑𘟣𘎪𗴮𘂯𗷌𗡝,根本一切有説部目得迦,根本說一切如經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,15,𘏞𘛛𗹡𗹬𘜶𗹡𗹬𘖑𗆄𘋢𗥤𗫔𗗙𗖵𗨳𗍺𘐔,菩提勇識大勇識不價菩薩衆之歸依禮拜,菩提薩埵大般若波羅蜜多經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,16,𗏇𘉅,雜字,杂字,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,17,𗓰𗾟𘂚𘃽𗒹𗛆𗹙𘅫,深廣雙入七枝法事,深广二七支法事,0,number_mismatch,"[""number_mismatch""]",0,0,0,0,0,0,0,1
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,18,𘋢𗥤𘝦𗗙𗍫𗑝𗆔,菩薩業之二節綱,菩萨藝两辈纲紀經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,19,𗢳𘎪𘈟𗐜𗟥𘋢𗥤𗞞𗤄𗖰𗚩,佛説障蓋除菩薩問經,佛説遮蓋減除菩薩問經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,20,𗣼𗟭𘞫𗗙𗣃𗧘𗏴𗭪,正理滴之句義顯具,德應滴論,0,truncation,"[""truncation"", ""suffix_drop""]",0,0,0,0,1,0,1,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,21,𗰖𗖍𘄒𘎑𘏞𗓽𗕥𗸰𗖰𗚩,集頌般若波羅蜜多經,野利般若波羅蜜多集颂,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,22,𗍥𘟙𗘅𗴺𗖵𗑗𘛧𗳒𗹝𘆖𘃡𗡶,金剛王亥母隨淨瓶以親誦作順,金刚亥母净瓶陀羅尼法門,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,23,𗄭𘚢𗴿𗒀𘃡𗡶𘐡,聚輪供養作次第,集轉供养法序,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,24,𗵒𗒛𘁨,金乘序,金乘序,1,exact,"[""exact""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,25,𗩾𗨁𗉣𗖰𗚩,最上意經,最上意謀經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,26,𗢳𘎪𘗽𘍭𗆄𗢳𘝯𗖰𗚩𗼫𗿧𘋓,佛説智(?)□□佛觀經□註,佛説壽量品 medicinal注疏,0,contamination,"[""contamination"", ""suffix_drop""]",1,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,27,𗼑𗼑𗫉𗊱,月月樂詩,月月乐诗,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,28,𗠁𘟛𗳌𘋟𗫡𘄴𗑾𘘝𗫦𗌮𗙼𗥤𗵽𘆡𘓆𗏴𗖍,勝慧彼岸到要論教學現量解莊嚴論顯頌,胜慧彼岸至治热病法要门论,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,29,𗢭𗵫𗴿𗒀𗺉,九曜供養根,九曜供养經,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,30,𗰗𘈩𘅞𗾈𗥺𗤶𗖰𗚩,十一面神咒心經,二十一面賢咒心經,0,number_mismatch,"[""number_mismatch""]",0,0,0,0,0,0,0,1
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,31,𗙏𘙰,同音,同音集,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,32,𗍥𘟙𗉃𘔅𗤶𗅁𗧯𗦇,金剛王燈炬心中所持可,金刚心陀羅尼經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,33,𗒹𗢳𘎪𗾈𗥺𗖰𗚩,七佛説神咒經,佛説七賢咒經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,34,𗆧𗰖𗵒𗭭𘃎𘐏𘝞,新集碎金置掌文,新集掌上碎金,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,35,𗿢𗖵𘄴𗰖𘕕𘄿𗾖𗪐𗣼𗹙𘂤𘃽𗡶,統依要集三品子□正法中入順,纂要三品君子德法則,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,36,𗫡𗾈,到賢,五台寺,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,37,𗯨𗣈𗒹𗵘𗹙𘅫,世離七道法事,世界京城七道法事,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,38,𗼃𗤁𗏇𘗽𘎲𘜶𗶈𘟙𗁬𗓽𘆵𗖰𗚩,聖六字壽增大蔭王陀羅尼經,圣六字延寿陀羅尼經<tool_call>,0,contamination,"[""contamination"", ""over_expansion""]",1,1,0,0,0,1,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,39,𗯵𘟣𗰛𗼃𗡡𘀄𘓄𗗙𗪲𗒐𗡙𗜓,壞有出聖柔吉祥之攝受讚顯,毀越聖柔《守护国吉祥谒》赞,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,40,𗤻𗵽𗹙𗐯𘝯𗆔,華嚴法界觀幹,花美化法經,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,41,𗼇𗟲𗍥𘟙𗒛𗺉,番言金剛王乘根,金刚句乘经,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,42,𗴮𘊳,類林,类林,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,43,𗵒𘗁𘄒𘎑𘓋𘐇𘝞,金剛般若略記文,金刚波若少記,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,44,𗍥𘟙𘝳𗥔𗴺𗖵𗄭𘚢𘐇𘃡𗡶𘐡,金剛王默有母隨集輪求記作順次,金刚禅定母集輪記,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,45,𗢳𘎪𗔀𗴺𘘖𗊢𗖰𗚩,佛説父母恩重經,佛説父母厚恩經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,46,𘜶𗐋𗴂𗴺𗗙𗄊𗧯𘆖𗡶𘄴𗑾,大蓋白母之總持誦順要論,治熱病法要門,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,47,𗣼𗟭𘞫𘈃𘍳𘃨,正理滴特殊造,德應滴特殊造作經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,48,𗼻𗔇𘋢𗥤𗰜𘓞𗖰𗚩,地藏菩薩本願經,菩萨根本願經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,49,𗵘𗗙𘂳𗖈𗷰𗡶𘄴𗑾,道之間休止順要論,治熱病禁斷拒法道門,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_lexical,local_qwen_frontier_style_fewshot_lexical,50,𗓁𗱈𘋢𗥤𗣷𗄻𘓺𗨁𘎳𘝯𗖰𗚩,觀彌勒菩薩足知皇上生觀經,弥勒菩薩知足觀生經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
